,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
210,Daniel Kaluuya,Daniel Kaluuya,2/24/89,"London, England, UK","['Get Out', 'Black Panther', 'Sicario', 'Widows']",17,56,https://www.imdb.com/name/nm2257207/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2257207/awards?ref_=nm_ql_2
211,Emma Watson(II),Emma Watson,4/15/90,"Paris, France","['The Perks of Being a Wallflower', ""Harry Potter and the Sorcerer's Stone"", 'The Bling Ring', 'Beauty and the Beast']",24,59,https://www.imdb.com/name/nm0914612/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0914612/awards?ref_=nm_ql_2
212,Bill Skarsgård,Bill Skarsgård,8/9/90,"Vällingby, Sweden","['It', 'Allegiant', 'Deadpool 2', 'Atomic Blonde']",4,7,https://www.imdb.com/name/nm0803889/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0803889/awards?ref_=nm_ql_2
213,Tom Holland(X),Tom Holland,6/1/96,"Kingston upon Thames, England, UK","['Spider-Man: Homecoming', 'The Impossible', 'Captain America: Civil War', 'Avengers: Infinity War']",14,16,https://www.imdb.com/name/nm4043618/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4043618/awards?ref_=nm_ql_2
214,Gal Gadot,Gal Gadot,4/30/85,"Rosh Ha'ayin, Israel","['Wonder Woman', 'Batman v Superman: Dawn of Justice', 'Furious 7', 'Keeping Up with the Joneses']",6,20,https://www.imdb.com/name/nm2933757/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2933757/awards?ref_=nm_ql_2
215,Kevin Hart(I),Kevin Hart,7/6/79,"Philadelphia, Pennsylvania, USA","['Ride Along', 'Central Intelligence', 'Grudge Match', 'The Secret Life of Pets']",16,34,https://www.imdb.com/name/nm0366389/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0366389/awards?ref_=nm_ql_2
216,Frances McDormand,Frances McDormand,6/23/57,"Gibson City, Illinois, USA","['Three Billboards Outside Ebbing, Missouri', 'Fargo', 'Moonrise Kingdom', 'Almost Famous']",89,87,https://www.imdb.com/name/nm0000531/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000531/awards?ref_=nm_ql_2
217,Sally Hawkins(I),Sally Hawkins,4/27/76,"Dulwich, London, England, UK","['The Shape of Water', 'Happy-Go-Lucky', 'Blue Jasmine', 'Paddington 2']",51,97,https://www.imdb.com/name/nm1020089/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1020089/awards?ref_=nm_ql_2
218,Ansel Elgort,Ansel Elgort,3/14/94,"New York City, New York, USA","['The Fault in Our Stars', 'Divergent', 'Baby Driver', 'Insurgent']",9,13,https://www.imdb.com/name/nm5052065/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5052065/awards?ref_=nm_ql_2
219,Jacob Tremblay(I),Jacob Tremblay,2010/5/6,"Vancouver, British Columbia, Canada","['Room', 'Wonder', 'Before I Wake', 'The Predator']",21,35,https://www.imdb.com/name/nm5016878/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5016878/awards?ref_=nm_ql_2
220,Rafe Spall,Rafe Spall,3/10/83,"Camberwell, London, England, UK","['The Big Short', 'Life of Pi', 'The Ritual', 'Hot Fuzz']",3,8,https://www.imdb.com/name/nm1245863/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1245863/awards?ref_=nm_ql_2
221,Anthony LaPaglia,Anthony LaPaglia,1/31/59,"Adelaide, South Australia, Australia","['Without a Trace', 'Lantana', 'So I Married an Axe Murderer', 'Empire Records']",13,24,https://www.imdb.com/name/nm0001439/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001439/awards?ref_=nm_ql_2
222,Fionn Whitehead,Fionn Whitehead,NA,NA,"['Dunkirk', 'Black Mirror: Bandersnatch', 'The Children Act', 'Him']",0,3,https://www.imdb.com/name/nm7887725/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7887725/awards?ref_=nm_ql_2
223,Anthony Gonzalez(VIII),Anthony Gonzalez,NA,NA,"['Coco', 'The Last Ship', 'Icebox', 'The Bridge']",8,3,https://www.imdb.com/name/nm5645519/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5645519/awards?ref_=nm_ql_2
224,Kenneth Branagh,Kenneth Branagh,12/10/60,"Belfast, Northern Ireland, UK","['Henry V', 'Hamlet', 'Much Ado About Nothing', 'Murder on the Orient Express']",31,64,https://www.imdb.com/name/nm0000110/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000110/awards?ref_=nm_ql_2
225,Carla Gugino,Carla Gugino,8/29/71,"Sarasota, Florida, USA","['Watchmen', ""Gerald's Game"", 'American Gangster', 'San Andreas']",3,9,https://www.imdb.com/name/nm0001303/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001303/awards?ref_=nm_ql_2
226,Steve Buscemi,Steve Buscemi,12/13/57,"Brooklyn, New York City, New York, USA","['Fargo', 'Ghost World', 'Reservoir Dogs', 'The Death of Stalin']",30,65,https://www.imdb.com/name/nm0000114/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000114/awards?ref_=nm_ql_2
227,Ross Lynch(II),Ross Lynch,12/29/95,"Littleton, Colorado, USA","['Austin & Ally', 'My Friend Dahmer', 'Teen Beach Movie', 'Muppets Most Wanted']",7,4,https://www.imdb.com/name/nm3515425/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3515425/awards?ref_=nm_ql_2
228,Kelsey Asbille,Kelsey Asbille,9/9/91,"Columbia, South Carolina, USA",NA,1,0,https://www.imdb.com/name/nm2080328/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2080328/awards?ref_=nm_ql_2
229,Margot Robbie,Margot Robbie,7/2/90,"Dalby, Queensland, Australia","['Suicide Squad', 'The Wolf of Wall Street', 'I, Tonya', 'The Legend of Tarzan']",14,63,https://www.imdb.com/name/nm3053338/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3053338/awards?ref_=nm_ql_2
230,Dacre Montgomery,Dacre Montgomery,11/22/94,"Perth, Australia","['Stranger Things', 'Power Rangers', 'Better Watch Out', 'A Few Less Men']",0,3,https://www.imdb.com/name/nm4223882/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4223882/awards?ref_=nm_ql_2
231,Scott Shepherd(II),Scott Shepherd,NA,NA,"['Bridge of Spies', 'Jason Bourne', 'Side Effects', 'Hostiles']",NA,NA,https://www.imdb.com/name/nm0791864/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0791864/awards?ref_=nm_ql_2
232,Glenn Close,Glenn Close,3/19/47,"Greenwich, Connecticut, USA",NA,62,109,https://www.imdb.com/name/nm0000335/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000335/awards?ref_=nm_ql_2
233,Vicky Krieps,Vicky Krieps,10/4/83,"Luxembourg, Grand-Duchy of Luxembourg","['Phantom Thread', 'Hanna', 'Colonia', 'Pitter Patter Goes My Heart']",8,7,https://www.imdb.com/name/nm3043279/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3043279/awards?ref_=nm_ql_2
234,Michelle Williams(I),Michelle Williams,9/9/80,"Kalispell, Montana, USA","['Blue Valentine', 'My Week with Marilyn', 'Take This Waltz', 'Manchester by the Sea']",41,135,https://www.imdb.com/name/nm0931329/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0931329/awards?ref_=nm_ql_2
235,Andrew Wilson(III),Andrew Wilson,8/22/64,"Dallas, Texas, USA","['Whip It', 'Idiocracy', 'Bottle Rocket', 'The Royal Tenenbaums']",5,0,https://www.imdb.com/name/nm0932992/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0932992/awards?ref_=nm_ql_2
236,Jessica Rothe,Jessica Rothe,5/28/87,"Denver, Colorado, USA","['Happy Death Day', 'La La Land', 'Valley Girl']",0,4,https://www.imdb.com/name/nm1557329/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1557329/awards?ref_=nm_ql_2
237,Barry G. Bernson,Barry G. Bernson,NA,NA,NA,NA,NA,https://www.imdb.com/name/nm8467096/?ref_=adv_li_st_0,https://www.imdb.com/name/nm8467096/awards?ref_=nm_ql_2
238,Orelsan,Orelsan,NA,NA,"['A Simple Favor', ""Comment c'est loin"", 'Mutafukaz', 'Casseurs Flowters - 15h02 - Regarde comme il fait beau (dehors)']",NA,NA,https://www.imdb.com/name/nm4765550/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4765550/awards?ref_=nm_ql_2
239,Douglas Smith(VI),Douglas Smith,6/22/85,"Toronto, Ontario, Canada","['Big Little Lies', 'The Alienist', 'Big Love', 'Antiviral']",2,1,https://www.imdb.com/name/nm0808022/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0808022/awards?ref_=nm_ql_2
240,Judah Lewis,Judah Lewis,NA,NA,NA,NA,NA,https://www.imdb.com/name/nm6237346/?ref_=adv_li_st_0,https://www.imdb.com/name/nm6237346/awards?ref_=nm_ql_2
241,Josh Gad,Josh Gad,2/23/81,"Hollywood, Florida, USA","['Frozen', 'Pixels', 'Beauty and the Beast', '21']",7,5,https://www.imdb.com/name/nm1265802/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1265802/awards?ref_=nm_ql_2
242,Evan Williams(I),Evan Williams,NA,NA,"['Versailles', 'Awkward.', 'Degrassi: The Next Generation', 'Grey Gardens']",0,1,https://www.imdb.com/name/nm0930570/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0930570/awards?ref_=nm_ql_2
243,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau,7/27/70,"Rudkøbing, Denmark","['Game of Thrones', 'Oblivion', 'Gods of Egypt', 'Nattevagten']",0,21,https://www.imdb.com/name/nm0182666/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0182666/awards?ref_=nm_ql_2
244,Thomas Jane,Thomas Jane,2/22/69,"Baltimore, Maryland, USA","['Deep Blue Sea', 'The Thin Red Line', 'Boogie Nights', 'The Mist']",3,8,https://www.imdb.com/name/nm0005048/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005048/awards?ref_=nm_ql_2
245,Michael Caine(I),Michael Caine,3/14/33,"Rotherhithe, London, England, UK","['The Quiet American', 'The Prestige', 'The Dark Knight', 'The Cider House Rules']",38,63,https://www.imdb.com/name/nm0000323/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000323/awards?ref_=nm_ql_2
246,Ruth Wilson(II),Ruth Wilson,1/13/82,"Ashford, Surrey, UK","['Luther', 'Locke', 'Saving Mr. Banks', 'Jane Eyre']",2,12,https://www.imdb.com/name/nm2235721/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2235721/awards?ref_=nm_ql_2
247,Andy Serkis,Andy Serkis,4/20/64,"Ruislip, London, England, UK","['War for the Planet of the Apes', 'Rise of the Planet of the Apes', 'Dawn of the Planet of the Apes', 'The Lord of the Rings: The Return of the King']",39,54,https://www.imdb.com/name/nm0785227/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0785227/awards?ref_=nm_ql_2
248,François Civil,François Civil,1/29/89,"Paris, France","['As Above, So Below', 'Frank', 'Molière', 'Mon inconnue']",NA,NA,https://www.imdb.com/name/nm2476624/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2476624/awards?ref_=nm_ql_2
249,Kumail Nanjiani,Kumail Nanjiani,2/21/78,"Karachi, Pakistan","['The Big Sick', 'Life as We Know It', 'Central Intelligence', 'The Lego Ninjago Movie']",4,33,https://www.imdb.com/name/nm3529685/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3529685/awards?ref_=nm_ql_2
250,Alec Baldwin(I),Alec Baldwin,4/3/58,"Massapequa, Long Island, New York, USA","['The Departed', ""It's Complicated"", 'The Cooler', 'Glengarry Glen Ross']",45,101,https://www.imdb.com/name/nm0000285/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000285/awards?ref_=nm_ql_2
251,John Boyega,John Boyega,3/17/92,"Peckham, London, England, UK","['Star Wars: Episode VII - The Force Awakens', 'Attack the Block', 'Pacific Rim: Uprising', 'Star Wars: Episode VIII - The Last Jedi']",8,19,https://www.imdb.com/name/nm3915784/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3915784/awards?ref_=nm_ql_2
252,Billy Howle,Billy Howle,11/9/89,"Stoke-on-Trent, Staffordshire, England, UK","['Dunkirk', 'Outlaw King', 'The Witness for the Prosecution', 'Glue']",NA,NA,https://www.imdb.com/name/nm6247071/?ref_=adv_li_st_0,https://www.imdb.com/name/nm6247071/awards?ref_=nm_ql_2
253,Shameik Moore,Shameik Moore,5/4/95,"Atlanta, Georgia, USA","['Spider-Man: Into the Spider-Verse', 'Dope', 'The Get Down', 'Incredible Crew']",2,7,https://www.imdb.com/name/nm4271336/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4271336/awards?ref_=nm_ql_2
254,Rami Malek,Rami Malek,5/12/81,"Los Angeles, California, USA","['Bohemian Rhapsody', 'Mr. Robot', 'Papillon', 'Short Term 12']",21,40,https://www.imdb.com/name/nm1785339/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1785339/awards?ref_=nm_ql_2
255,Christopher Rygh,Christopher Rygh,NA,NA,"['The Head Hunter', 'Medieval', 'The Last Kingdom', 'Hello Au Revoir']",2,0,https://www.imdb.com/name/nm7957857/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7957857/awards?ref_=nm_ql_2
256,Mel Gibson(I),Mel Gibson,1/3/56,"Peekskill, New York, USA","['Braveheart', 'Lethal Weapon 3', 'Ransom', 'Signs']",44,39,https://www.imdb.com/name/nm0000154/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000154/awards?ref_=nm_ql_2
257,Lady Gaga,Lady Gaga,3/28/86,"Manhattan, New York City, New York, USA","['A Star Is Born', 'Machete Kills', 'Sin City: A Dame to Kill For', 'Lady Gaga Feat. Beyoncé: Telephone']",46,112,https://www.imdb.com/name/nm3078932/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3078932/awards?ref_=nm_ql_2
258,Adriana Ugarte,Adriana Ugarte,1/17/85,"Madrid, Madrid, Spain","['El tiempo entre costuras', 'Julieta', 'Mala espina', 'La señora']",9,8,https://www.imdb.com/name/nm1246047/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1246047/awards?ref_=nm_ql_2
259,Hera Hilmar,Hera Hilmar,12/27/88,Iceland,"['Smáfuglar', 'Anna Karenina', 'Vonarstræti', 'An Ordinary Man']",4,1,https://www.imdb.com/name/nm2623492/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2623492/awards?ref_=nm_ql_2
260,Olivia Colman,Olivia Colman,1/30/74,"Norwich, Norfolk, England, UK","['The Favourite', 'Tyrannosaur', 'The Lobster', 'Hot Fuzz']",65,46,https://www.imdb.com/name/nm1469236/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1469236/awards?ref_=nm_ql_2
229,Toni Collette,Toni Collette,11/1/72,"Sydney, New South Wales, Australia","['Little Miss Sunshine', 'Hereditary', 'About a Boy', 'The Sixth Sense']",44,77,https://www.imdb.com/name/nm0001057/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001057/awards?ref_=nm_ql_2
230,John David Washington,John David Washington,7/28/84,USA,"['BlacKkKlansman', 'The Book of Eli', 'Ballers', 'Malcolm X']",6,30,https://www.imdb.com/name/nm0913475/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0913475/awards?ref_=nm_ql_2
231,Viola Davis(I),Viola Davis,8/11/65,"Saint Matthews, South Carolina, USA","['Fences', 'The Help', 'Widows', 'Suicide Squad']",87,124,https://www.imdb.com/name/nm0205626/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0205626/awards?ref_=nm_ql_2
232,Jovan Adepo,Jovan Adepo,NA,NA,"['Fences', 'Overlord', 'The Leftovers', 'Mother!']",0,6,https://www.imdb.com/name/nm5381254/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5381254/awards?ref_=nm_ql_2
233,KiKi Layne,KiKi Layne,NA,NA,"['If Beale Street Could Talk', 'Captive State', 'Chicago Med', 'Veracity']",4,6,https://www.imdb.com/name/nm8460487/?ref_=adv_li_st_0,https://www.imdb.com/name/nm8460487/awards?ref_=nm_ql_2
234,Emilio Estevez,Emilio Estevez,5/12/62,"New York City, New York, USA","['The Way', 'Bobby', 'The Public', 'The Breakfast Club']",4,11,https://www.imdb.com/name/nm0000389/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000389/awards?ref_=nm_ql_2
235,Steve Coogan,Steve Coogan,10/14/65,"Middleton, Manchester, England, UK","['Philomena', 'Alan Partridge: Alpha Papa', '24 Hour Party People', ""I'm Alan Partridge""]",14,48,https://www.imdb.com/name/nm0176869/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0176869/awards?ref_=nm_ql_2
236,Alden Ehrenreich,Alden Ehrenreich,11/22/89,"Los Angeles, California, USA","['Hail, Caesar!', 'Solo: A Star Wars Story', 'Beautiful Creatures', 'Stoker']",1,15,https://www.imdb.com/name/nm2403277/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2403277/awards?ref_=nm_ql_2
237,Tim Blake Nelson,Tim Blake Nelson,5/11/64,"Tulsa, Oklahoma, USA","['O Brother, Where Art Thou?', 'Leaves of Grass', 'The Ballad of Buster Scruggs', 'Fantastic Four']",6,12,https://www.imdb.com/name/nm0625789/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0625789/awards?ref_=nm_ql_2
238,Sean Astin,Sean Astin,2/25/71,"Santa Monica, California, USA","['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers', 'The Goonies', 'The Lord of the Rings: The Fellowship of the Ring']",20,23,https://www.imdb.com/name/nm0000276/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000276/awards?ref_=nm_ql_2
239,Constance Wu,Constance Wu,3/22/82,"Richmond, Virginia, USA","['Crazy Rich Asians', 'Fresh Off the Boat', 'Parallels', 'Sound of My Voice']",0,17,https://www.imdb.com/name/nm2090422/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2090422/awards?ref_=nm_ql_2
240,Craig T. Nelson,Craig T. Nelson,4/4/44,"Spokane, Washington, USA","['Coach', 'The Incredibles', 'Poltergeist', 'The Family Stone']",5,16,https://www.imdb.com/name/nm0005266/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005266/awards?ref_=nm_ql_2
241,Justin Theroux,Justin Theroux,8/10/71,"Washington, District of Columbia, USA","['Mulholland Dr.', 'American Psycho', 'The Girl on the Train', ""Charlie's Angels: Full Throttle""]",1,6,https://www.imdb.com/name/nm0857620/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0857620/awards?ref_=nm_ql_2
242,Matthias Schoenaerts(I),Matthias Schoenaerts,12/8/77,"Antwerp, Belgium","['Rust and Bone', 'The Danish Girl', 'Rundskop', 'Red Sparrow']",16,13,https://www.imdb.com/name/nm0774386/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0774386/awards?ref_=nm_ql_2
243,Sofia Boutella,Sofia Boutella,4/3/82,"Bab El Oued, Algeria","['Star Trek Beyond', 'Kingsman: The Secret Service', 'Hotel Artemis', 'The Mummy']",1,1,https://www.imdb.com/name/nm1154749/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1154749/awards?ref_=nm_ql_2
244,Yalitza Aparicio,Yalitza Aparicio,12/11/93,"Tlaxiaco, Oaxaca, Mexico","['Roma', 'Today', 'La noche de los Oscar', 'The Oscars']",7,28,https://www.imdb.com/name/nm8611957/?ref_=adv_li_st_0,https://www.imdb.com/name/nm8611957/awards?ref_=nm_ql_2
245,Zain Al Rafeea,Zain Al Rafeea,2010/10/4,"Daraa, Syria",NA,3,2,https://www.imdb.com/name/nm9862858/?ref_=adv_li_st_0,https://www.imdb.com/name/nm9862858/awards?ref_=nm_ql_2
246,Claire Foy,Claire Foy,4/16/84,"Stockport, England, UK","['First Man', 'Unsane', ""The Girl in the Spider's Web"", 'The Crown']",9,45,https://www.imdb.com/name/nm2946516/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2946516/awards?ref_=nm_ql_2
247,Demián Bichir,Demián Bichir,8/1/63,"Mexico City, Distrito Federal, Mexico","['The Hateful Eight', 'A Better Life', 'Machete Kills', 'The Nun']",8,17,https://www.imdb.com/name/nm0065007/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0065007/awards?ref_=nm_ql_2
248,Matt Dillon(I),Matt Dillon,2/18/64,"New Rochelle, New York, USA","[""There's Something About Mary"", 'Crash', 'Drugstore Cowboy', 'The House That Jack Built']",21,28,https://www.imdb.com/name/nm0000369/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000369/awards?ref_=nm_ql_2
249,Jodie Foster,Jodie Foster,11/19/62,"Los Angeles, California, USA","['The Silence of the Lambs', 'Contact', 'Taxi Driver', 'The Accused']",59,48,https://www.imdb.com/name/nm0000149/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000149/awards?ref_=nm_ql_2
250,Félix Maritaud,Félix Maritaud,12/12/92,"Nevers, Nièvre, France","['Sauvage', 'Un couteau dans le coeur', 'BPM (Beats Per Minute)', 'Enter']",2,1,https://www.imdb.com/name/nm9029751/?ref_=adv_li_st_0,https://www.imdb.com/name/nm9029751/awards?ref_=nm_ql_2
251,John Cho,John Cho,6/16/72,"Seoul, South Korea","['Harold & Kumar Go to White Castle', 'Star Trek', 'Star Trek Into Darkness', 'Searching']",2,6,https://www.imdb.com/name/nm0158626/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0158626/awards?ref_=nm_ql_2
252,Jamie Lee Curtis,Jamie Lee Curtis,11/22/58,"Los Angeles, California, USA","['True Lies', 'Halloween', 'A Fish Called Wanda', 'Freaky Friday']",13,30,https://www.imdb.com/name/nm0000130/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000130/awards?ref_=nm_ql_2
253,Sunny Suljic,Sunny Suljic,NA,NA,"['Mid90s', 'God of War', 'The Killing of a Sacred Deer', 'The House with a Clock in Its Walls']",0,4,https://www.imdb.com/name/nm6129779/?ref_=adv_li_st_0,https://www.imdb.com/name/nm6129779/awards?ref_=nm_ql_2
254,Rory Culkin,Rory Culkin,7/21/89,"New York City, New York, USA","['Signs', 'Mean Creek', 'You Can Count on Me', 'Scream 4']",2,10,https://www.imdb.com/name/nm0191412/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0191412/awards?ref_=nm_ql_2
255,Boyd Holbrook,Boyd Holbrook,9/1/81,"Prestonsburg, Kentucky, USA","['Logan', 'The Predator', 'The Host', 'Gone Girl']",1,2,https://www.imdb.com/name/nm2933542/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2933542/awards?ref_=nm_ql_2
256,Lana Condor,Lana Condor,5/11/97,"Can Tho, Vietnam","['X-Men: Apocalypse', ""To All the Boys I've Loved Before"", 'Alita: Battle Angel', 'Patriots Day']",NA,NA,https://www.imdb.com/name/nm7093076/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7093076/awards?ref_=nm_ql_2
257,Elisabeth Moss(I),Elisabeth Moss,7/24/82,"Los Angeles, California, USA","['The One I Love', ""The Handmaid's Tale"", 'Girl, Interrupted', 'Queen of Earth']",26,67,https://www.imdb.com/name/nm0005253/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005253/awards?ref_=nm_ql_2
258,Victor Polster,Victor Polster,NA,NA,"['Girl', 'Le journal du Festival', 'Festival international de Cannes', ""L'invité""]",5,2,https://www.imdb.com/name/nm9760132/?ref_=adv_li_st_0,https://www.imdb.com/name/nm9760132/awards?ref_=nm_ql_2
259,Birgit Minichmayr,Birgit Minichmayr,4/3/77,"Linz, Upper Austria, Austria","['Downfall', 'The White Ribbon', 'Alle Anderen', 'Perfume: The Story of a Murderer']",5,8,https://www.imdb.com/name/nm0591352/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0591352/awards?ref_=nm_ql_2
